DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_CATGR_NATR,CD_NATR_ACTE_JURDQ,NB_REQST
2020-01-01,"01","025","026",1
2020-01-01,"01","026","063",3
2020-01-01,"01","027","249",4
2020-01-01,"01","028","635",6
2020-01-01,"01","028","637",4
2020-01-01,"01","029","225",1
2020-01-01,"02","027","249",4
2020-01-01,"02","028","635",10
2020-01-01,"02","028","637",18
2020-01-01,"03","026","063",7
2020-01-01,"03","027","249",10
2020-01-01,"03","028","635",11
2020-01-01,"03","028","637",22
2020-01-01,"04","026","063",1
2020-01-01,"04","027","249",6
2020-01-01,"04","028","635",15
2020-01-01,"04","028","637",9
2020-01-01,"04","029","225",2
2020-01-01,"05","026","063",3
2020-01-01,"05","027","249",2
2020-01-01,"05","028","635",14
2020-01-01,"05","028","637",13
2020-01-01,"06","026","063",5
2020-01-01,"06","027","249",56
2020-01-01,"06","028","635",20
2020-01-01,"06","028","636",1
2020-01-01,"06","028","637",73
2020-01-01,"06","029","225",5
2020-01-01,"07","026","063",5
2020-01-01,"07","027","249",11
2020-01-01,"07","028","635",11
2020-01-01,"07","028","637",23
2020-01-01,"07","029","225",3
2020-01-01,"08","027","249",3
2020-01-01,"08","028","635",2
2020-01-01,"08","028","637",6
2020-01-01,"09","026","063",1
2020-01-01,"09","028","635",7
2020-01-01,"09","028","637",4
2020-01-01,"11","025","026",1
2020-01-01,"11","027","249",3
2020-01-01,"11","028","635",2
2020-01-01,"11","028","637",5
2020-01-01,"12","026","063",4
2020-01-01,"12","027","249",6
2020-01-01,"12","028","635",8
2020-01-01,"12","028","637",15
2020-01-01,"13","026","063",1
2020-01-01,"13","027","249",13
2020-01-01,"13","028","635",10
2020-01-01,"13","028","637",20
2020-01-01,"14","026","063",2
2020-01-01,"14","027","249",5
2020-01-01,"14","028","635",22
2020-01-01,"14","028","637",22
2020-01-01,"14","029","225",1
2020-01-01,"15","026","063",1
2020-01-01,"15","027","249",14
2020-01-01,"15","028","635",28
2020-01-01,"15","028","637",35
2020-01-01,"15","029","225",1
2020-01-01,"16","026","063",5
2020-01-01,"16","027","249",24
2020-01-01,"16","028","635",39
2020-01-01,"16","028","637",54
2020-01-01,"16","029","225",9
2020-01-01,"17","025","026",1
2020-01-01,"17","028","635",2
2020-01-01,"17","028","637",6
2020-02-01,"01","027","249",3
2020-02-01,"01","028","635",4
2020-02-01,"01","028","637",10
2020-02-01,"02","026","063",3
2020-02-01,"02","027","249",13
2020-02-01,"02","028","635",10
2020-02-01,"02","028","637",15
2020-02-01,"03","025","026",1
2020-02-01,"03","026","063",7
2020-02-01,"03","027","249",6
2020-02-01,"03","028","635",17
2020-02-01,"03","028","637",28
2020-02-01,"03","029","225",3
2020-02-01,"04","025","026",3
2020-02-01,"04","026","063",4
2020-02-01,"04","027","249",5
2020-02-01,"04","028","635",8
2020-02-01,"04","028","637",22
2020-02-01,"04","029","225",1
2020-02-01,"05","026","063",3
2020-02-01,"05","027","249",3
2020-02-01,"05","028","635",5
2020-02-01,"05","028","637",12
2020-02-01,"06","026","063",2
2020-02-01,"06","027","249",50
2020-02-01,"06","028","635",27
2020-02-01,"06","028","637",85
2020-02-01,"06","029","225",2
2020-02-01,"07","026","063",1
2020-02-01,"07","027","249",7
2020-02-01,"07","028","635",12
2020-02-01,"07","028","637",38
2020-02-01,"08","025","026",1
2020-02-01,"08","026","063",8
2020-02-01,"08","027","249",1
2020-02-01,"08","028","635",4
2020-02-01,"08","028","637",5
2020-02-01,"08","029","225",2
2020-02-01,"09","025","026",1
2020-02-01,"09","027","249",2
2020-02-01,"09","028","635",1
2020-02-01,"09","028","637",2
2020-02-01,"11","025","026",6
2020-02-01,"11","026","063",1
2020-02-01,"11","028","635",4
2020-02-01,"11","028","637",8
2020-02-01,"12","025","026",1
2020-02-01,"12","026","063",2
2020-02-01,"12","027","249",5
2020-02-01,"12","028","635",9
2020-02-01,"12","028","637",13
2020-02-01,"13","026","063",1
2020-02-01,"13","027","249",9
2020-02-01,"13","028","635",11
2020-02-01,"13","028","637",16
2020-02-01,"14","026","063",2
2020-02-01,"14","027","249",10
2020-02-01,"14","028","635",13
2020-02-01,"14","028","637",26
2020-02-01,"14","029","225",5
2020-02-01,"15","025","026",1
2020-02-01,"15","026","063",3
2020-02-01,"15","027","249",33
2020-02-01,"15","028","635",14
2020-02-01,"15","028","637",36
2020-02-01,"15","029","225",4
2020-02-01,"16","025","026",7
2020-02-01,"16","026","063",3
2020-02-01,"16","027","249",19
2020-02-01,"16","028","635",35
2020-02-01,"16","028","637",57
2020-02-01,"16","029","225",5
2020-02-01,"17","025","026",4
2020-02-01,"17","027","249",5
2020-02-01,"17","028","635",4
2020-02-01,"17","028","637",12
2020-03-01,"01","026","063",2
2020-03-01,"01","027","249",1
2020-03-01,"01","028","635",2
2020-03-01,"01","028","637",6
2020-03-01,"02","027","249",10
2020-03-01,"02","028","635",8
2020-03-01,"02","028","637",12
2020-03-01,"02","029","225",2
2020-03-01,"03","025","026",1
2020-03-01,"03","026","063",7
2020-03-01,"03","027","249",19
2020-03-01,"03","028","635",16
2020-03-01,"03","028","637",19
2020-03-01,"03","029","225",2
2020-03-01,"04","026","063",3
2020-03-01,"04","027","249",8
2020-03-01,"04","028","635",5
2020-03-01,"04","028","637",12
2020-03-01,"04","029","225",3
2020-03-01,"05","025","026",1
2020-03-01,"05","027","249",9
2020-03-01,"05","028","635",5
2020-03-01,"05","028","637",8
2020-03-01,"06","027","249",55
2020-03-01,"06","028","635",27
2020-03-01,"06","028","637",71
2020-03-01,"06","029","225",1
2020-03-01,"07","026","063",2
2020-03-01,"07","027","249",3
2020-03-01,"07","028","635",7
2020-03-01,"07","028","637",31
2020-03-01,"07","029","225",1
2020-03-01,"08","025","026",3
2020-03-01,"08","026","063",1
2020-03-01,"08","027","249",3
2020-03-01,"08","028","635",5
2020-03-01,"08","028","637",4
2020-03-01,"08","029","225",1
2020-03-01,"09","026","063",1
2020-03-01,"09","028","635",5
2020-03-01,"09","028","637",5
2020-03-01,"11","025","026",1
2020-03-01,"11","026","063",3
2020-03-01,"11","027","249",1
2020-03-01,"11","028","635",4
2020-03-01,"11","028","637",5
2020-03-01,"12","025","026",8
2020-03-01,"12","026","063",5
2020-03-01,"12","028","635",7
2020-03-01,"12","028","637",19
2020-03-01,"13","026","063",1
2020-03-01,"13","027","249",1
2020-03-01,"13","028","635",5
2020-03-01,"13","028","637",19
2020-03-01,"13","029","225",1
2020-03-01,"14","026","063",2
2020-03-01,"14","027","249",10
2020-03-01,"14","028","635",18
2020-03-01,"14","028","637",22
2020-03-01,"14","029","225",3
2020-03-01,"15","025","026",1
2020-03-01,"15","026","063",2
2020-03-01,"15","027","249",29
2020-03-01,"15","028","635",14
2020-03-01,"15","028","637",34
2020-03-01,"15","029","225",4
2020-03-01,"16","025","026",2
2020-03-01,"16","026","063",8
2020-03-01,"16","027","249",24
2020-03-01,"16","028","635",27
2020-03-01,"16","028","637",47
2020-03-01,"16","029","225",2
2020-03-01,"17","025","026",1
2020-03-01,"17","027","249",9
2020-03-01,"17","028","635",3
2020-03-01,"17","028","637",5
2020-03-01,"17","029","225",1
2020-04-01,"01","025","026",1
2020-04-01,"01","026","063",1
2020-04-01,"01","027","249",3
2020-04-01,"01","028","635",1
2020-04-01,"01","028","637",2
2020-04-01,"02","027","249",2
2020-04-01,"02","028","635",4
2020-04-01,"02","028","637",9
2020-04-01,"03","025","026",1
2020-04-01,"03","027","249",7
2020-04-01,"03","028","635",6
2020-04-01,"03","028","637",11
2020-04-01,"04","028","635",2
2020-04-01,"04","028","637",3
2020-04-01,"05","025","026",1
2020-04-01,"05","027","249",3
2020-04-01,"05","029","225",1
2020-04-01,"06","026","063",1
2020-04-01,"06","027","249",43
2020-04-01,"06","028","635",15
2020-04-01,"06","028","637",28
2020-04-01,"06","029","225",1
2020-04-01,"07","027","249",7
2020-04-01,"07","028","635",2
2020-04-01,"07","028","637",4
2020-04-01,"08","025","026",1
2020-04-01,"08","027","249",1
2020-04-01,"08","028","635",3
2020-04-01,"08","028","637",1
2020-04-01,"08","029","225",1
2020-04-01,"09","025","026",3
2020-04-01,"09","028","637",4
2020-04-01,"11","025","026",1
2020-04-01,"12","025","026",4
2020-04-01,"12","027","249",3
2020-04-01,"12","028","635",7
2020-04-01,"12","028","637",9
2020-04-01,"13","026","063",1
2020-04-01,"13","027","249",4
2020-04-01,"13","028","635",2
2020-04-01,"13","028","637",5
2020-04-01,"14","026","063",2
2020-04-01,"14","027","249",10
2020-04-01,"14","028","635",6
2020-04-01,"14","028","637",3
2020-04-01,"15","027","249",18
2020-04-01,"15","028","635",8
2020-04-01,"15","028","637",8
2020-04-01,"15","029","225",1
2020-04-01,"16","025","026",7
2020-04-01,"16","026","063",2
2020-04-01,"16","027","249",33
2020-04-01,"16","028","635",17
2020-04-01,"16","028","637",25
2020-04-01,"17","025","026",3
2020-04-01,"17","027","249",2
2020-04-01,"17","028","635",2
2020-04-01,"17","028","637",1
2020-05-01,"01","026","063",2
2020-05-01,"01","027","249",1
2020-05-01,"01","028","635",2
2020-05-01,"01","028","637",1
2020-05-01,"02","027","249",1
2020-05-01,"02","028","635",2
2020-05-01,"02","028","637",3
2020-05-01,"03","025","026",1
2020-05-01,"03","027","249",8
2020-05-01,"03","028","635",2
2020-05-01,"03","028","637",3
2020-05-01,"03","029","225",1
2020-05-01,"04","026","063",1
2020-05-01,"04","028","635",1
2020-05-01,"04","028","637",3
2020-05-01,"05","027","249",3
2020-05-01,"05","028","635",2
2020-05-01,"05","028","637",4
2020-05-01,"06","026","063",1
2020-05-01,"06","027","249",35
2020-05-01,"06","028","635",9
2020-05-01,"06","028","636",1
2020-05-01,"06","028","637",46
2020-05-01,"06","029","225",10
2020-05-01,"07","027","249",16
2020-05-01,"07","028","635",6
2020-05-01,"07","029","225",2
2020-05-01,"08","027","249",5
2020-05-01,"08","028","635",4
2020-05-01,"08","028","637",6
2020-05-01,"09","027","249",1
2020-05-01,"09","028","635",1
2020-05-01,"09","028","637",2
2020-05-01,"11","028","635",2
2020-05-01,"11","028","637",1
2020-05-01,"12","026","063",1
2020-05-01,"12","027","249",3
2020-05-01,"12","028","635",4
2020-05-01,"12","028","637",5
2020-05-01,"13","027","249",2
2020-05-01,"13","028","635",2
2020-05-01,"13","028","637",5
2020-05-01,"14","026","063",2
2020-05-01,"14","027","249",3
2020-05-01,"14","028","635",6
2020-05-01,"14","028","637",8
2020-05-01,"14","029","225",11
2020-05-01,"15","026","063",2
2020-05-01,"15","027","249",20
2020-05-01,"15","028","635",11
2020-05-01,"15","028","637",16
2020-05-01,"15","029","225",3
2020-05-01,"16","026","063",2
2020-05-01,"16","027","249",17
2020-05-01,"16","028","635",9
2020-05-01,"16","028","637",18
2020-05-01,"16","029","225",1
2020-05-01,"17","026","063",1
2020-05-01,"17","027","249",5
2020-05-01,"17","028","635",6
2020-05-01,"17","028","637",3
2020-06-01,"01","027","249",3
2020-06-01,"01","028","635",5
2020-06-01,"01","028","637",4
2020-06-01,"02","027","249",6
2020-06-01,"02","028","635",3
2020-06-01,"02","028","637",4
2020-06-01,"03","026","063",3
2020-06-01,"03","027","249",12
2020-06-01,"03","028","635",3
2020-06-01,"03","028","637",12
2020-06-01,"03","029","225",1
2020-06-01,"04","027","249",5
2020-06-01,"04","028","635",4
2020-06-01,"04","028","637",7
2020-06-01,"04","029","225",1
2020-06-01,"05","026","063",3
2020-06-01,"05","027","249",6
2020-06-01,"05","028","635",5
2020-06-01,"05","028","637",6
2020-06-01,"06","026","063",4
2020-06-01,"06","027","249",53
2020-06-01,"06","028","635",14
2020-06-01,"06","028","637",47
2020-06-01,"06","029","225",9
2020-06-01,"07","025","026",1
2020-06-01,"07","027","249",6
2020-06-01,"07","028","635",10
2020-06-01,"07","028","637",13
2020-06-01,"08","026","063",2
2020-06-01,"08","027","249",1
2020-06-01,"08","028","635",3
2020-06-01,"09","028","635",1
2020-06-01,"09","028","637",4
2020-06-01,"09","029","225",1
2020-06-01,"11","026","063",5
2020-06-01,"11","027","249",1
2020-06-01,"11","028","637",1
2020-06-01,"12","026","063",3
2020-06-01,"12","027","249",5
2020-06-01,"12","028","635",3
2020-06-01,"12","028","637",8
2020-06-01,"13","026","063",1
2020-06-01,"13","027","249",5
2020-06-01,"13","028","637",11
2020-06-01,"14","025","026",2
2020-06-01,"14","026","063",1
2020-06-01,"14","027","249",6
2020-06-01,"14","028","635",7
2020-06-01,"14","028","637",7
2020-06-01,"14","029","225",2
2020-06-01,"15","026","063",3
2020-06-01,"15","027","249",31
2020-06-01,"15","028","635",10
2020-06-01,"15","028","637",18
2020-06-01,"15","029","225",2
2020-06-01,"16","025","026",2
2020-06-01,"16","026","063",5
2020-06-01,"16","027","249",35
2020-06-01,"16","028","635",19
2020-06-01,"16","028","637",30
2020-06-01,"16","029","225",2
2020-06-01,"17","026","063",1
2020-06-01,"17","027","249",5
2020-06-01,"17","028","635",1
2020-06-01,"17","028","637",6
2020-07-01,"01","026","063",1
2020-07-01,"01","028","635",5
2020-07-01,"01","028","637",6
2020-07-01,"02","026","063",1
