DT_DEBUT_MOIS,ID_REGN_ADMIN,CD_PLAGE_PRIX,CD_NATR_ACTE_JURDQ,NB_REQST
2020-01-01,"01","1","001",191
2020-01-01,"01","2","001",14
2020-01-01,"01","3","001",7
2020-01-01,"02","1","001",241
2020-01-01,"02","2","001",44
2020-01-01,"02","3","001",5
2020-01-01,"03","1","001",432
2020-01-01,"03","2","001",207
2020-01-01,"03","3","001",55
2020-01-01,"04","1","001",342
2020-01-01,"04","2","001",39
2020-01-01,"04","3","001",4
2020-01-01,"05","1","001",301
2020-01-01,"05","2","001",94
2020-01-01,"05","3","001",29
2020-01-01,"06","1","001",317
2020-01-01,"06","2","001",841
2020-01-01,"06","3","001",754
2020-01-01,"07","1","001",372
2020-01-01,"07","2","001",195
2020-01-01,"07","3","001",56
2020-01-01,"08","1","001",138
2020-01-01,"08","2","001",45
2020-01-01,"08","3","001",7
2020-01-01,"09","1","001",88
2020-01-01,"09","2","001",8
2020-01-01,"09","3","001",2
2020-01-01,"11","1","001",134
2020-01-01,"11","2","001",7
2020-01-01,"12","1","001",440
2020-01-01,"12","2","001",77
2020-01-01,"12","3","001",25
2020-01-01,"13","1","001",143
2020-01-01,"13","2","001",209
2020-01-01,"13","3","001",68
2020-01-01,"14","1","001",433
2020-01-01,"14","2","001",187
2020-01-01,"14","3","001",46
2020-01-01,"15","1","001",634
2020-01-01,"15","2","001",348
2020-01-01,"15","3","001",110
2020-01-01,"16","1","001",1050
2020-01-01,"16","2","001",848
2020-01-01,"16","3","001",293
2020-01-01,"17","1","001",221
2020-01-01,"17","2","001",42
2020-01-01,"17","3","001",27
2020-02-01,"01","1","001",206
2020-02-01,"01","2","001",24
2020-02-01,"01","3","001",7
2020-02-01,"02","1","001",325
2020-02-01,"02","2","001",30
2020-02-01,"02","3","001",5
2020-02-01,"03","1","001",454
2020-02-01,"03","2","001",200
2020-02-01,"03","3","001",80
2020-02-01,"04","1","001",334
2020-02-01,"04","2","001",44
2020-02-01,"04","3","001",14
2020-02-01,"05","1","001",334
2020-02-01,"05","2","001",87
2020-02-01,"05","3","001",39
2020-02-01,"06","1","001",349
2020-02-01,"06","2","001",884
2020-02-01,"06","3","001",788
2020-02-01,"07","1","001",355
2020-02-01,"07","2","001",180
2020-02-01,"07","3","001",47
2020-02-01,"08","1","001",138
2020-02-01,"08","2","001",29
2020-02-01,"08","3","001",7
2020-02-01,"09","1","001",87
2020-02-01,"09","2","001",9
2020-02-01,"09","3","001",2
2020-02-01,"11","1","001",122
2020-02-01,"11","2","001",1
2020-02-01,"11","3","001",2
2020-02-01,"12","1","001",436
2020-02-01,"12","2","001",84
2020-02-01,"12","3","001",37
2020-02-01,"13","1","001",132
2020-02-01,"13","2","001",230
2020-02-01,"13","3","001",104
2020-02-01,"14","1","001",497
2020-02-01,"14","2","001",241
2020-02-01,"14","3","001",50
2020-02-01,"15","1","001",685
2020-02-01,"15","2","001",423
2020-02-01,"15","3","001",119
2020-02-01,"16","1","001",1129
2020-02-01,"16","2","001",875
2020-02-01,"16","3","001",285
2020-02-01,"17","1","001",276
2020-02-01,"17","2","001",43
2020-02-01,"17","3","001",20
2020-03-01,"01","1","001",247
2020-03-01,"01","2","001",21
2020-03-01,"01","3","001",7
2020-03-01,"02","1","001",317
2020-03-01,"02","2","001",43
2020-03-01,"02","3","001",4
2020-03-01,"03","1","001",576
2020-03-01,"03","2","001",292
2020-03-01,"03","3","001",79
2020-03-01,"04","1","001",339
2020-03-01,"04","2","001",36
2020-03-01,"04","3","001",15
2020-03-01,"05","1","001",385
2020-03-01,"05","2","001",123
2020-03-01,"05","3","001",29
2020-03-01,"06","1","001",340
2020-03-01,"06","2","001",1013
2020-03-01,"06","3","001",893
2020-03-01,"07","1","001",408
2020-03-01,"07","2","001",226
2020-03-01,"07","3","001",54
2020-03-01,"08","1","001",138
2020-03-01,"08","2","001",33
2020-03-01,"08","3","001",9
2020-03-01,"09","1","001",72
2020-03-01,"09","2","001",5
2020-03-01,"09","3","001",2
2020-03-01,"11","1","001",111
2020-03-01,"11","2","001",10
2020-03-01,"11","3","001",3
2020-03-01,"12","1","001",533
2020-03-01,"12","2","001",109
2020-03-01,"12","3","001",38
2020-03-01,"13","1","001",135
2020-03-01,"13","2","001",294
2020-03-01,"13","3","001",94
2020-03-01,"14","1","001",528
2020-03-01,"14","2","001",282
2020-03-01,"14","3","001",36
2020-03-01,"15","1","001",763
2020-03-01,"15","2","001",578
2020-03-01,"15","3","001",130
2020-03-01,"16","1","001",1266
2020-03-01,"16","2","001",1100
2020-03-01,"16","3","001",360
2020-03-01,"17","1","001",318
2020-03-01,"17","2","001",65
2020-03-01,"17","3","001",21
2020-04-01,"01","1","001",221
2020-04-01,"01","2","001",29
2020-04-01,"01","3","001",8
2020-04-01,"02","1","001",332
2020-04-01,"02","2","001",62
2020-04-01,"02","3","001",2
2020-04-01,"03","1","001",631
2020-04-01,"03","2","001",432
2020-04-01,"03","3","001",68
2020-04-01,"04","1","001",382
2020-04-01,"04","2","001",61
2020-04-01,"04","3","001",13
2020-04-01,"05","1","001",406
2020-04-01,"05","2","001",112
2020-04-01,"05","3","001",39
2020-04-01,"06","1","001",280
2020-04-01,"06","2","001",920
2020-04-01,"06","3","001",868
2020-04-01,"07","1","001",347
2020-04-01,"07","2","001",281
2020-04-01,"07","3","001",57
2020-04-01,"08","1","001",116
2020-04-01,"08","2","001",51
2020-04-01,"08","3","001",5
2020-04-01,"09","1","001",46
2020-04-01,"09","2","001",8
2020-04-01,"09","3","001",3
2020-04-01,"11","1","001",107
2020-04-01,"11","2","001",4
2020-04-01,"11","3","001",2
2020-04-01,"12","1","001",456
2020-04-01,"12","2","001",142
2020-04-01,"12","3","001",23
2020-04-01,"13","1","001",122
2020-04-01,"13","2","001",359
2020-04-01,"13","3","001",112
2020-04-01,"14","1","001",558
